Title,Takeaway,Authors,Year,Citations,Abstract,Study Type,Journal,Journal SJR Quartile,DOI,Consensus Link
"The FAIR Guiding Principles for scientific data management and stewardship","The FAIR Data Principles aim to enhance the reusability of scientific data by improving machine findability and supporting individual reuse.","Mark D. Wilkinson, M. Dumontier, I. J. Aalbersberg, Gabrielle Appleton, M. Axton, A. Baak, N. Blomberg, J. Boiten, Luiz Olavo Bonino da Silva Santos, P. Bourne, J. Bouwman, A. Brookes, Tim Clark, M. Crosas, I. Dillo, Olivier Dumon, S. Edmunds, C. Evelo, R. Finkers, Alejandra N. González-Beltrán, A. Gray, Paul Groth, C. Goble, J. Grethe, J. Heringa, P. ’. ’t Hoen, R. Hooft, Tobias Kuhn, Ruben G. Kok, J. Kok, S. Lusher, M. Martone, Albert Mons, A. Packer, Bengt Persson, P. Rocca-Serra, M. Roos, Rene C. van Schaik, Susanna-Assunta Sansone, E. Schultes, T. Sengstag, Ted Slater, George O. Strawn, M. Swertz, Mark Thompson, J. van der Lei, E. V. van Mulligen, Jan Velterop, A. Waagmeester, P. Wittenburg, K. Wolstencroft, Jun Zhao, B. Mons",2016,12380,"","","Scientific Data","1","10.1038/sdata.2016.18","https://consensus.app/papers/the-fair-guiding-principles-for-scientific-data-clark-hoen/4c5895b681da50f49121075fd4537ad9/"
"The FAIR guiding principles for data stewardship: fair enough?","The FAIR principles can facilitate data sharing in life sciences, but ethical, methodological, and organizational challenges must be addressed for widespread adoption.","M. Boeckhout, G. Zielhuis, A. Bredenoord",2018,182,"","","European Journal of Human Genetics","1","10.1038/s41431-018-0160-0","https://consensus.app/papers/the-fair-guiding-principles-for-data-stewardship-fair-zielhuis-boeckhout/8620179f38a0556fb2047ac63abfad3d/"
"Cloudy, increasingly FAIR; revisiting the FAIR Data guiding principles for the European Open Science Cloud","The FAIR Data Principles, which propose that all scholarly output should be Findable, Accessible, Interoperable, and Reusable, have become increasingly relevant in the European Open Science Cloud, with a growing understanding of their meaning and implications.","B. Mons, C. Neylon, Jan Velterop, M. Dumontier, Luiz Olavo Bonino da Silva Santos, Mark D. Wilkinson",2017,309,"The FAIR Data Principles propose that all scholarly output should be Findable, Accessible, Interoperable, and Reusable. As a set of guiding principles, expressing only the kinds of behaviours that researchers should expect from contemporary data resources, how the FAIR principles should manifest in reality was largely open to interpretation. As support for the Principles has spread, so has the breadth of these interpretations. In observing this creeping spread of interpretation, several of the original authors felt it was now appropriate to revisit the Principles, to clarify both what FAIRness is, and is not.","","Information Services and Use","3","10.3233/ISU-170824","https://consensus.app/papers/cloudy-increasingly-fair-revisiting-the-fair-data-guiding-mons-dumontier/b2ab0633e1a65a2fb1f9d5616a6bf5f4/"
"Implementing FAIR principles in data management systems: A multi-case study in precision farming","Implementing FAIR principles in agricultural data management systems requires metadata, secure access protocols, semantic interoperability, and comprehensive documentation.","N. Krisnawijaya, B. Tekinerdogan, C. Catal, R. V. D. Tol, Y. Herdiyeni",2025,0,"","","Comput. Electron. Agric.","1","10.1016/j.compag.2024.109855","https://consensus.app/papers/implementing-fair-principles-in-data-management-systems-a-herdiyeni-krisnawijaya/3bf6cf6d689c5f6ca82a0dba05aade93/"
"Are the FAIR Data Principles fair?","The FAIR Data Principles are effective and relevant, but data archives need improvement in their ability to adhere to them.","A. Dunning, Madeleine de Smaele, Jasmin Böhmer",2017,66,"This practice paper describes an ongoing research project to test the effectiveness and relevance of the FAIR Data Principles. Simultaneously, it will analyse how easy it is for data archives to adhere to the principles. The research took place from November 2016 to January 2017, and will be underpinned with feedback from the repositories. The FAIR Data Principles feature 15 facets corresponding to the four letters of FAIR - Findable, Accessible, Interoperable, Reusable. These principles have already gained traction within the research world. The European Commission has recently expanded its demand for research to produce open data. The relevant guidelines1are explicitly written in the context of the FAIR Data Principles. Given an increasing number of researchers will have exposure to the guidelines, understanding their viability and suggesting where there may be room for modification and adjustment is of vital importance. This practice paper is connected to a dataset(Dunning et al.,2017) containing the original overview of the sample group statistics and graphs, in an Excel spreadsheet. Over the course of two months, the web-interfaces, help-pages and metadata-records of over 40 data repositories have been examined, to score the individual data repository against the FAIR principles and facets. The traffic-light rating system enables colour-coding according to compliance and vagueness. The statistical analysis provides overall, categorised, on the principles focussing, and on the facet focussing results. The analysis includes the statistical and descriptive evaluation, followed by elaborations on Elements of the FAIR Data Principles, the subject specific or repository specific differences, and subsequently what repositories can do to improve their information architecture.","","Int. J. Digit. Curation","","10.2218/IJDC.V12I2.567","https://consensus.app/papers/are-the-fair-data-principles-fair-b%C3%B6hmer-dunning/352791d5992c51cd954d23591da5d705/"
"FAIR Principles: Interpretations and Implementation Considerations","FAIR principles can be implemented in various ways, but consistent implementation is crucial for true interoperability and accelerating global participation in digital resource discovery and reuse.","Annika Jacobsen, R. de Miranda Azevedo, N. Juty, Dominique Batista, S. Coles, R. Cornet, Mélanie Courtot, M. Crosas, M. Dumontier, C. Evelo, C. Goble, G. Guizzardi, Karsten Kryger Hansen, Ali Hasnain, K. Hettne, J. Heringa, Rob W.W. Hooft, Melanie Imming, K. Jeffery, R. Kaliyaperumal, Martijn G. Kersloot, Christine R. Kirkpatrick, Tobias Kuhn, I. Labastida, Barbara Magagna, Peter McQuilton, N. Meyers, A. Montesanti, M. van Reisen, P. Rocca-Serra, R. Pergl, Susanna-Assunta Sansone, Luiz Olavo Bonino da Silva Santos, Juliane Schneider, George O. Strawn, Mark Thompson, A. Waagmeester, T. Weigel, Mark D. Wilkinson, Egon Willighagen, P. Wittenburg, M. Roos, B. Mons, E. Schultes",2020,267,"The FAIR principles have been widely cited, endorsed and adopted by a broad range of stakeholders since their publication in 2016. By intention, the 15 FAIR guiding principles do not dictate specific technological implementations, but provide guidance for improving Findability, Accessibility, Interoperability and Reusability of digital resources. This has likely contributed to the broad adoption of the FAIR principles, because individual stakeholder communities can implement their own FAIR solutions. However, it has also resulted in inconsistent interpretations that carry the risk of leading to incompatible implementations. Thus, while the FAIR principles are formulated on a high level and may be interpreted and implemented in different ways, for true interoperability we need to support convergence in implementation choices that are widely accessible and (re)-usable. We introduce the concept of FAIR implementation considerations to assist accelerated global participation and convergence towards accessible, robust, widespread and consistent FAIR implementations. Any self-identified stakeholder community may either choose to reuse solutions from existing implementations, or when they spot a gap, accept the challenge to create the needed solution, which, ideally, can be used again by other communities in the future. Here, we provide interpretations and implementation considerations (choices and challenges) for each FAIR principle.","","Data Intelligence","1","10.1162/dint_r_00024","https://consensus.app/papers/fair-principles-interpretations-and-implementation-kersloot-coles/76c4000046275227bfaf2a908bc98a53/"
"Implementation and relevance of FAIR data principles in biopharmaceutical R&D.","Implementing FAIR data principles in biopharmaceutical R&D significantly improves efficiency and effectiveness, enabling digital transformation and enabling new analytical tools like AI and machine learning.","J. Wise, Alexandra Grebe de Barron, A. Splendiani, B. Balali-Mood, Drashtti Vasant, E. Little, Gaspare Mellino, Ian Harrow, Ian Smith, Jan Taubert, K. van Bochove, M. Romacker, P. Walgemoed, R. Jiménez, R. Winnenburg, Tom Plasterer, V. Gupta, Victoria Hedley",2019,126,"","","Drug discovery today","1","10.1016/j.drudis.2019.01.008","https://consensus.app/papers/implementation-and-relevance-of-fair-data-principles-in-little-mellino/646da4bf25f850138513118d37976400/"
"The fair principles: Trusting in fair data repositories","Applying the FAIR principles to research data ensures it can be found, downloaded, understood, and reused, addressing the reproducibility crisis in science and improving scientific data access.","A. Götz",2023,3,"
 
 Andy Götz, ESRF data manager and PaNOSC coordinator, discusses the impact of applying the FAIR principles to research data. In the previous article in this series on FAIR data, we explained how the scientific world is undergoing a major change with the widespread adoption of the so-called FAIR principles for research data. FAIR stands for Findable, Accessible, Interoperable and Reusable and was first published in a paper in Nature in 2016.(1) The FAIR principles were proposed to ensure research data are made available to the scientific community so that they can be found, downloaded, understood, and reused. The goal is to make data used in scientific publications available to the community so they can verify the results, reproduce them, and eventually derive new results from them. Applying the FAIR principles systematically for research data will address the reproducibility - also known as the replicability - crisis (2) in science and make scientific data available for verifying results and used beyond their original purpose.
","","Open Access Government","","10.56367/oag-039-10749","https://consensus.app/papers/the-fair-principles-trusting-in-fair-data-repositories-g%C3%B6tz/b99f969e93da5949a7b0a0aed99c17f5/"
"Data Protection and the Role of Fairness","The principle of fairness in EU data protection law is divided into procedural fairness and fair balancing elements, with gaps and shortcomings requiring further research.","Damian Clifford, J. Ausloos",2018,47,"The purpose of this article is to examine the principle of fairness as it appears in EU data protection law. Despite the fact that this principle is often referred to as a key tenet of the data protection framework, a precise understanding of its role remains elusive. As such, this article aims to provide the first steps towards a more thorough understanding of the fairness principle. This is significant as it is argued that fairness is delineated from the other data protection principles and thus this article aims to clarify its overarching role and importance in the General Data Protection Regulation (GDPR). The article divides the fairness principle into procedural fairness and fair balancing elements which are evident in the fairness checks and balances in the GDPR. Building on this analysis the article identifies gaps, shortcomings and areas for future research thus calling for further analysis on the precise contours of the fairness principle.","","Yearbook of European Law","1","10.2139/SSRN.3013139","https://consensus.app/papers/data-protection-and-the-role-of-fairness-ausloos-clifford/c6251ede6790586daa99acc8811aa630/"
"From Raw Data to FAIR Data: The FAIRification Workflow for Health Research","The proposed FAIRification workflow and technical architecture can effectively transform raw health datasets into FAIR data, enabling their reuse and sharing within the health research community.","Ali Anil Sinaci, Francisco Núñez-Benjumea, M. Gencturk, M. Jauer, T. Deserno, C. Chronaki, Giorgio Cangioli, Carlos Cavero-Barca, Juan M Rodríguez-Pérez, Manuel M. Pérez-Pérez, Gokce Banu Laleci Erturkmen, Tony Hernández-Pérez, Eva Méndez-Rodríguez, C. Parra-Calderón",2020,81,"Abstract Background FAIR (findability, accessibility, interoperability, and reusability) guiding principles seek the reuse of data and other digital research input, output, and objects (algorithms, tools, and workflows that led to that data) making them findable, accessible, interoperable, and reusable. GO FAIR - a bottom-up, stakeholder driven and self-governed initiative - defined a seven-step FAIRification process focusing on data, but also indicating the required work for metadata. This FAIRification process aims at addressing the translation of raw datasets into FAIR datasets in a general way, without considering specific requirements and challenges that may arise when dealing with some particular types of data. Objectives This scientific contribution addresses the architecture design of an open technological solution built upon the FAIRification process proposed by “GO FAIR” which addresses the identified gaps that such process has when dealing with health datasets. Methods A common FAIRification workflow was developed by applying restrictions on existing steps and introducing new steps for specific requirements of health data. These requirements have been elicited after analyzing the FAIRification workflow from different perspectives: technical barriers, ethical implications, and legal framework. This analysis identified gaps when applying the FAIRification process proposed by GO FAIR to health research data management in terms of data curation, validation, deidentification, versioning, and indexing. Results A technological architecture based on the use of Health Level Seven International (HL7) FHIR (fast health care interoperability resources) resources is proposed to support the revised FAIRification workflow. Discussion Research funding agencies all over the world increasingly demand the application of the FAIR guiding principles to health research output. Existing tools do not fully address the identified needs for health data management. Therefore, researchers may benefit in the coming years from a common framework that supports the proposed FAIRification workflow applied to health datasets. Conclusion Routine health care datasets or data resulting from health research can be FAIRified, shared and reused within the health research community following the proposed FAIRification workflow and implementing technical architecture.","","Methods of Information in Medicine","1","10.1055/s-0040-1713684","https://consensus.app/papers/from-raw-data-to-fair-data-the-fairification-workflow-for-deserno-chronaki/3d5b27524fc355acb6a93cb2bc9caf5e/"
